country,prop_positive,prop_positive_low,prop_positive_upp,n
DK,0.8696862751003575,0.8426653219046869,0.896707228296028,978
SE,0.8208960740460348,0.787297251140325,0.8544948969517446,978
FI,0.8126451409326796,0.786365184415308,0.8389250974500512,970
NL,0.7913402031861458,0.760142523781208,0.8225378825910837,984
EE,0.7599912931873299,0.73096678645997,0.7890157999146898,859
SK,0.7577477508550605,0.7297998732980778,0.7856956284120432,977
PL,0.7407129176841798,0.7115779527932917,0.7698478825750679,940
LV,0.7269580598467202,0.69518881240951,0.7587273072839305,897
LT,0.7233537096526356,0.6920093917348056,0.7546980275704656,946
DE-W,0.7229539559806747,0.6932848584570432,0.7526230535043061,951
MT,0.7085083060565339,0.6607851452476703,0.7562314668653976,475
CZ,0.7047268394986369,0.6734261291562684,0.7360275498410054,977
SI,0.6882367923155508,0.6553399361615816,0.72113364846952,971
IE,0.6873718969254935,0.656378982290186,0.718364811560801,923
BE,0.6853288379165646,0.6522288509244593,0.71842882490867,1006
BG,0.6553151161167328,0.622661318258541,0.6879689139749245,851
LU,0.6526771263327232,0.6088153918851582,0.6965388607802883,482
AT,0.6517857662940411,0.6190053672944854,0.6845661652935967,954
IT,0.6421893462361119,0.6117457994333625,0.6726328930388613,1003
HU,0.6361975221839813,0.6040820229683737,0.6683130213995889,967
DE-E,0.6242671882629761,0.5727466454565413,0.6757877310694109,548
ES,0.6014090365769222,0.5695841615710328,0.6332339115828117,931
RO,0.5965003000699793,0.5650031117438541,0.6279974883961046,973
HR,0.5887752004900985,0.5541745867259895,0.6233758142542074,963
CY,0.5754018583073703,0.5266167267169602,0.6241869898977804,479
FR,0.575156979201339,0.5400557780020214,0.6102581804006566,916
PT,0.5334822481833151,0.5002468864094053,0.566717609957225,907
GR,0.5068287524316982,0.4743040920428693,0.5393534128205272,947
