model,term,estimate,std_error,odds_ratio,ci_low,ci_high,p_value
Restricted education sample,(Intercept),-2.081627678969508,0.2074312926058706,0.12472703132100926,0.08306053981167812,0.18729510279398368,1.2279771201490472e-23
Restricted education sample,edu_groupMedium (16-19),0.021439588428744435,0.10015706995880135,1.0216710677185132,0.8395706393219611,1.2432685490956086,0.8305029172391121
Restricted education sample,edu_groupHigh (20+),0.25539720298026247,0.10792631460299386,1.2909742978862935,1.0448418281872647,1.5950879768036088,0.01797221134953136
Restricted education sample,age,0.0030745519778743358,0.0019454096827316572,1.003079283260422,0.9992618916006651,1.0069112581632773,0.11402945298636655
Restricted education sample,gender_fWoman,-0.18350316717936507,0.05718575397336649,0.832349239534384,0.7440960259086752,0.9310696905112852,0.0013347502428066658
Restricted education sample,precarityFrom time to time,-0.0792705310935434,0.06949458421520542,0.9237899767246884,0.8061564784864199,1.0585884302502395,0.25402134025878886
Restricted education sample,precarityMost of the time,-0.4231196529834374,0.11554788164275882,0.6550002556881082,0.5222602043697658,0.8214781278792066,2.511003059052798e-4
Restricted education sample,community_fSmall/medium town,0.04271263008048404,0.06999409646841892,1.0436379416026242,0.909852047251099,1.1970958975618735,0.5417157816109622
Restricted education sample,community_fLarge town,0.14862655922978002,0.07566944361749477,1.1602396275165203,1.0003172253146178,1.3457290939244633,0.049527163998547445
Restricted education sample,digital_skill,0.798249553813476,0.035729538097480064,2.2216486464701957,2.0713922090349817,2.382804515163404,4.1930711265767593e-109
Restricted education sample,ai_exposure,0.7537649076837794,0.05905091518755872,2.124985348828731,1.892743266858122,2.3857238389400885,3.7201716604389638e-37
Restricted education sample,factor(country27)BE,0.05638809887227269,0.13926889689298644,1.0580082158633624,0.8052730043612912,1.3900644610857429,0.6855656600931013
Restricted education sample,factor(country27)BG,0.17573203920878372,0.13199519936868376,1.1921185748114798,0.9203752628657971,1.5440948423423413,0.18308988124406955
Restricted education sample,factor(country27)CY,-0.3358907331560463,0.16231568506926156,0.7147011946936311,0.5199494778967075,0.982398904914331,0.0385256558429379
Restricted education sample,factor(country27)CZ,0.4824475435571334,0.1306201864542808,1.620034659157555,1.254123199315069,2.0927069193083225,2.218193978750873e-4
Restricted education sample,factor(country27)DE,0.4386503861856075,0.12237757706012209,1.550613076858644,1.2199315402634052,1.9709310192979164,3.3873019869828203e-4
Restricted education sample,factor(country27)DK,1.1354233992883966,0.18443413987089208,3.1124910904739402,2.1682906269662867,4.467851619058022,7.603732590463723e-10
Restricted education sample,factor(country27)EE,0.5977283417905904,0.14510752185119935,1.8179842671602573,1.3679630725368128,2.416049718003829,3.8184423130913234e-5
Restricted education sample,factor(country27)ES,-0.3666602105909425,0.12779607910995477,0.6930450944236081,0.5394873603493436,0.8903109474031111,0.004121077549138757
Restricted education sample,factor(country27)FI,0.4024576497067899,0.14436495913890923,1.4954955892071058,1.1269417289654091,1.9845809236216125,0.005312540925264793
Restricted education sample,factor(country27)FR,-0.336453138928435,0.13996044507863198,0.7142993556251,0.5429323401741438,0.9397553464632085,0.016230382021677217
Restricted education sample,factor(country27)GR,-0.35069617128226405,0.13513729131073732,0.7041976768331881,0.5403380076123967,0.9177484483249263,0.009463602641979412
Restricted education sample,factor(country27)HU,0.194472321508033,0.12259602257873853,1.2146698621897374,0.955222035714871,1.5445863044897783,0.11269178304510213
Restricted education sample,factor(country27)IE,-0.027419684896783186,0.13478355189161645,0.9729528222218561,0.7470743313458077,1.2671258461847659,0.838797347838242
Restricted education sample,factor(country27)IT,0.10522734478754489,0.1259902500636289,1.110963153329517,0.8678737642929749,1.4221413053790761,0.403614725508603
Restricted education sample,factor(country27)LT,0.3096537177589494,0.1410949510913293,1.3629530659638172,1.0336670220095956,1.79713681530504,0.02820139338640526
Restricted education sample,factor(country27)LU,-0.3993490560855532,0.15837046413430406,0.6707565288378373,0.49176738844446527,0.9148925519476425,0.011690224865650524
Restricted education sample,factor(country27)LV,0.22892698103884512,0.1442591708645266,1.257250232552181,0.9476066411852628,1.6680741549841895,0.11254926828193539
Restricted education sample,factor(country27)MT,-0.010045524785590046,0.1838913955421829,0.9900047629686898,0.6904124978014673,1.41959978103196,0.9564358363967201
Restricted education sample,factor(country27)NL,0.3822940452704709,0.15798377071823494,1.4656429871660777,1.0753557580157496,1.9975801959649173,0.015537393367702105
Restricted education sample,factor(country27)PL,0.4026051514601895,0.1283049705668073,1.4957161936980898,1.1631502187976774,1.923368878701851,0.0017044658880314692
Restricted education sample,factor(country27)PT,-0.16962104756024102,0.13142662792793786,0.843984586021847,0.6523249152514459,1.0919558103462912,0.19685385830556898
Restricted education sample,factor(country27)RO,0.06181619894355416,0.1264481481977137,1.0637668052957816,0.8302589678190668,1.3629480197265342,0.6249424342199417
Restricted education sample,factor(country27)SE,0.3436246219885169,0.16475523017532873,1.4100492346733737,1.020926251134732,1.9474852781903618,0.03702257294210452
Restricted education sample,factor(country27)SI,0.20641091409526763,0.14124072655701136,1.2292582197583806,0.932006189609448,1.6213151668839787,0.14391953591322637
Restricted education sample,factor(country27)SK,0.7987126618086233,0.13601569658870538,2.2226777479949638,1.7025494347138705,2.901705096311771,4.3746431318488796e-9
