model,term,estimate,std_error,odds_ratio,ci_low,ci_high,p_value
Model 3,(Intercept),-1.9763015558543606,0.20424090054930316,0.13858082412780776,0.0928651939247782,0.2068013214024875,4.276804551403586e-22
Model 3,edu_groupMedium (16-19),0.031767967427860096,0.09906221870294929,1.0322779554053474,0.8501092456530996,1.2534833407172217,0.748451126965701
Model 3,edu_groupHigh (20+),0.2763813437733568,0.10663853860624382,1.3183505129394066,1.069695093737198,1.6248069988760736,0.009556008728776292
Model 3,edu_groupStill studying,0.024582513304327917,0.24240096969279082,1.0248871544440268,0.6373000761897049,1.6481932430080306,0.91922400643017
Model 3,edu_groupNo full-time education,0.7169281450803219,0.5258314943442484,2.0481319730774565,0.7307508982527016,5.740457643189284,0.17276701405507644
Model 3,age,0.0029128407993210294,0.0019174780533249794,1.0029170872421518,0.9991550100788789,1.0066933295994531,0.12875404277540708
Model 3,gender_fWoman,-0.18831144766144162,0.05640351017744127,0.8283566773033717,0.741663015331277,0.925184039986934,8.434967017441017e-4
Model 3,precarityFrom time to time,-0.07799540722567246,0.06884100461764578,0.9249686747061668,0.8082197440838231,1.0585822178317745,0.2572374549952125
Model 3,precarityMost of the time,-0.40325081780424743,0.1123034649360721,0.6681444957701123,0.5361391387286151,0.8326515170791637,3.305942460157454e-4
Model 3,community_fSmall/medium town,0.03945998474967281,0.06880235653370138,1.040248872233088,0.9090182062677075,1.1904246897597626,0.5662949766777601
Model 3,community_fLarge town,0.1615379161695624,0.07428316441121238,1.1753170208329984,1.0160733986025121,1.3595180243471237,0.029670681619703102
Model 3,digital_skill,0.7679256525747075,0.03497941840707048,2.1552907916536124,2.0124789131075222,2.308237053482442,1.653299206514679e-105
Model 3,ai_exposure,0.747087741673795,0.058407210047879965,2.1108437343808917,1.8825207694557762,2.366859023958163,2.626911888365718e-37
Model 3,factor(country27)BE,0.010898962936523413,0.1368174332516244,1.0109585729988542,0.7731684950259725,1.321881637566656,0.936508014656446
Model 3,factor(country27)BG,0.1518390095837112,0.129960611606062,1.1639728328765153,0.9022360394911443,1.5016389241541466,0.24268179019513778
Model 3,factor(country27)CY,-0.43813768909401485,0.16423387728587377,0.6452369346517633,0.4676523160357563,0.8902569014690214,0.007642223592779111
Model 3,factor(country27)CZ,0.464871766905284,0.12828545277862205,1.591810053069592,1.2379253823637766,2.0468594320403213,2.9114576976230563e-4
Model 3,factor(country27)DE,0.3914171612583401,0.1201369197832541,1.4790753976881703,1.1687714159607727,1.871763804428841,0.001123616151075568
Model 3,factor(country27)DK,0.8216705432366226,0.17657164583120186,2.27429597560331,1.608973626624518,3.2147339764025142,3.2860876598718857e-6
Model 3,factor(country27)EE,0.5698516142065778,0.14123388616664612,1.768004685190519,1.340494108823016,2.331856996820511,5.486156540019322e-5
Model 3,factor(country27)ES,-0.3932600568779683,0.12479505225722583,0.6748532245414738,0.5284252800971945,0.8618567124386198,0.0016282818407565628
Model 3,factor(country27)FI,0.44521267087802846,0.14080660406934764,1.5608221019449005,1.1844005695442432,2.0568764458270503,0.0015700496623751148
Model 3,factor(country27)FR,-0.35226765771213353,0.13653321233050658,0.7030919088173792,0.5380155388732117,0.9188177599475637,0.009884987802581478
Model 3,factor(country27)GR,-0.39872633957758863,0.13245742647034156,0.6711743500797602,0.5177109909549501,0.8701283458828245,0.0026140023469417733
Model 3,factor(country27)HU,0.17263222673546955,0.12057338327428538,1.1884289523069551,0.9382983952361332,1.5052390389370431,0.15222884056280409
Model 3,factor(country27)IE,0.003072714909307162,0.13207497852910086,1.0030774405366931,0.77430495346291,1.2994419669069563,0.9814391925047665
Model 3,factor(country27)IT,0.0811816592229875,0.12407416957814629,1.084567900434504,0.8504418469961681,1.383148694772787,0.5129268581431897
Model 3,factor(country27)LT,0.28313456771838463,0.1380687384213136,1.327283759347301,1.012603576983472,1.739755041232546,0.040312022807960736
Model 3,factor(country27)LU,-0.31659602158371075,0.1553361506427364,0.7286250444699615,0.5373802780291986,0.9879306649955009,0.04155032028210788
Model 3,factor(country27)LV,0.20888184594460665,0.14106948292842053,1.2322993887579912,0.9346255979258545,1.624780860810308,0.13870268158351867
Model 3,factor(country27)MT,0.017468543968819354,0.18030433428824455,1.0176220112975798,0.7146792363109128,1.4489780943164632,0.9228198102282843
Model 3,factor(country27)NL,0.39899294400568797,0.15156358586643906,1.4903231028589663,1.1073101369546876,2.00581831303696,0.00848248580666486
Model 3,factor(country27)PL,0.3910430093057187,0.126474767025311,1.4785221022547892,1.1539109756772903,1.894450831072846,0.0019919176805410646
Model 3,factor(country27)PT,-0.1863055684270665,0.12883705379410504,0.8300199283437109,0.6447958307701807,1.0684515137524977,0.14817810919919777
Model 3,factor(country27)RO,0.025675204217205958,0.1245776692391714,1.0260076513913425,0.8037294746256965,1.3097587359276899,0.8367166041918387
Model 3,factor(country27)SE,0.2603406031641777,0.16376020615300493,1.2973719003943132,0.9411775235957592,1.7883702125633034,0.11190399180286462
Model 3,factor(country27)SI,0.18568740010927381,0.13743501368697197,1.2040458169517998,0.9197252664756207,1.5762601965633345,0.17668198957826745
Model 3,factor(country27)SK,0.7723732443128324,0.1337994130143509,2.1648979937915303,1.6655097182216982,2.814023402113064,7.926860335329515e-9
