edu_group,prop_positive,prop_positive_low,prop_positive_upp,n
Low (up to 15),0.46960110698290985,0.4385248255504993,0.5006773884153204,2260
Medium (16-19),0.6216328840612506,0.6063774485593032,0.636888319563198,9917
High (20+),0.7407377115911301,0.7254885160521531,0.7559869071301071,9563
Still studying,0.8112225686842043,0.7807173196403886,0.84172781772802,1598
No full-time education,0.5110613824912125,0.34651140853507434,0.6756113564473506,109
