model,term,estimate,std_error,odds_ratio,ci_low,ci_high,p_value
Unweighted robustness,(Intercept),-1.6687218907772459,0.1413498989977485,0.18848781977176104,0.1428782225585291,0.24865691612140686,3.651299626194496e-32
Unweighted robustness,edu_groupMedium (16-19),0.026947304927563677,0.06490772533569718,1.0273136669690615,0.9045935980685618,1.1666823340280037,0.678022368943118
Unweighted robustness,edu_groupHigh (20+),0.2974188774723245,0.06869845457472316,1.34637914924269,1.1767688039247106,1.5404358166784375,1.4955777096975603e-5
Unweighted robustness,edu_groupStill studying,0.13345394144790612,0.13387913860321152,1.1427686306544553,0.8790228831302199,1.4856497689314396,0.3188499358153695
Unweighted robustness,edu_groupNo full-time education,0.13797013473225977,0.31984825529100797,1.1479412661889647,0.6132878201019936,2.1486961055257385,0.6662057402421879
Unweighted robustness,age,0.002785883400882185,0.0011849886843668738,1.0027897675801631,1.0004634556198209,1.0051214887609088,0.018724095285772072
Unweighted robustness,gender_fWoman,-0.23757112760617113,0.03449115099406812,0.7885408019667495,0.736996201108595,0.8436903683235456,5.6627426588083245e-12
Unweighted robustness,precarityFrom time to time,-0.21171435883892967,0.04096577871627782,0.8091958041871881,0.7467641974687621,0.8768468704494109,2.3651301724494176e-7
Unweighted robustness,precarityMost of the time,-0.4859953675471712,0.06953143704710686,0.6150846566575866,0.5367222841642519,0.7048880697113034,2.757152886095561e-12
Unweighted robustness,community_fSmall/medium town,0.08067882901252671,0.041995168150385766,1.0840226840160003,0.9983711399479196,1.1770223842032863,0.054713364658138315
Unweighted robustness,community_fLarge town,0.24721576244800772,0.043611476284917836,1.2804553571580415,1.175553193306092,1.3947186150408553,1.4397388959163382e-8
Unweighted robustness,digital_skill,0.6794671844280945,0.020491627797899283,1.9728262995723986,1.8951620169663905,2.0536732867380736,4.302366532772647e-241
Unweighted robustness,ai_exposure,0.7103184998695233,0.0356097425309739,2.0346391877744354,1.8974761992800664,2.181717286360749,1.5817914236027084e-88
Unweighted robustness,factor(country27)BE,0.016541707119860936,0.12323167952726054,1.0166792786663548,0.7985258437262776,1.2944311869057732,0.8932186585354612
Unweighted robustness,factor(country27)BG,0.1483564998605883,0.12472087202275073,1.1599263362401282,0.9083805162337634,1.4811294181889005,0.23423974655857163
Unweighted robustness,factor(country27)CY,-0.36198839587092096,0.14581615040157456,0.6962904476391223,0.5232045412998928,0.926636428401331,0.013046456383882467
Unweighted robustness,factor(country27)CZ,0.43327201934140136,0.11794676374330088,1.5422956979050797,1.2239711460350233,1.9434085741988987,2.3929370566385752e-4
Unweighted robustness,factor(country27)DE,0.14125483446572107,0.10715519858180045,1.151718108060014,0.9335455750394506,1.420878247296372,0.18742779925865768
Unweighted robustness,factor(country27)DK,1.0692320149691033,0.14923453064276807,2.9131413916884656,2.1743672651866937,3.9029251883259746,7.791372595444341e-13
Unweighted robustness,factor(country27)EE,0.5543250780107992,0.1337340157430676,1.7407657071545293,1.3393858977361153,2.2624288133293673,3.398405156031884e-5
Unweighted robustness,factor(country27)ES,-0.40068991193512393,0.1176597898293909,0.6698577437278036,0.5319004865847802,0.8435965150420734,6.604404618366737e-4
Unweighted robustness,factor(country27)FI,0.38001524106769946,0.12765226679336283,1.462306876382486,1.1386250017363726,1.8780032033853025,0.00291125345312033
Unweighted robustness,factor(country27)FR,-0.446824237901798,0.11904376179824436,0.6396563257330864,0.5065431716871489,0.8077499370637213,1.744206673293727e-4
Unweighted robustness,factor(country27)GR,-0.4432022732027637,0.11985105211167153,0.6419773391413455,0.507577424632159,0.8119646067192132,2.1735429308924307e-4
Unweighted robustness,factor(country27)HR,0.13754065784131841,0.11685159035688379,1.147448357796937,0.9125756883809757,1.4427709948604577,0.23917386483172823
Unweighted robustness,factor(country27)HU,0.06755391112219515,0.11549646715834337,1.0698879369024654,0.8531541737557389,1.3416803582996175,0.5586147985976634
Unweighted robustness,factor(country27)IE,-0.04245852881908746,0.12163922933373851,0.958430211929487,0.7551287326697339,1.2164660559154736,0.7270495767021268
Unweighted robustness,factor(country27)IT,0.06890112415292099,0.11903465135591212,1.071330275222815,0.8484004673621912,1.3528381970103358,0.5627022032563312
Unweighted robustness,factor(country27)LT,0.32124811411417525,0.12253463333573213,1.378847650019177,1.0844626880208457,1.753145463614938,0.00874943664619364
Unweighted robustness,factor(country27)LU,-0.3877923665248728,0.14194023648753917,0.6785532190012585,0.5137645882278337,0.8961973665899797,0.006293547323203587
Unweighted robustness,factor(country27)LV,0.21888189239889236,0.12383422407478359,1.2446842613336442,0.9764529356156049,1.5865986509989458,0.07713790655119782
Unweighted robustness,factor(country27)MT,0.10562904313771794,0.1531161142960405,1.111409515040692,0.8232683845224413,1.5003990598272694,0.4902807515921864
Unweighted robustness,factor(country27)NL,0.350275561847089,0.12367085329098657,1.419458643351014,1.1139197970643815,1.808804229437218,0.0046211423387929485
Unweighted robustness,factor(country27)PL,0.3520315132316798,0.11956567893856321,1.4219533333573575,1.124892064880317,1.7974624813992495,0.0032373607558228803
