model,term,estimate,std_error,odds_ratio,ci_low,ci_high,p_value
Model 2,(Intercept),-2.0070412813992076,0.18697366584497388,0.13438569650115534,0.09315384246288574,0.19386763816313732,8.384033735435615e-27
Model 2,edu_groupMedium (16-19),0.165811535639995,0.09305138574286818,1.1803506267341823,0.9835706296630321,1.4164998018587562,0.07477581148703057
Model 2,edu_groupHigh (20+),0.38904052605807304,0.09936637844903574,1.4755643489278616,1.2144435678242198,1.7928294121790331,9.064055044837837e-5
Model 2,edu_groupStill studying,0.17984803455988563,0.23001492691766753,1.1970354412815771,0.7626371345315975,1.8788671345832721,0.43428473919228494
Model 2,edu_groupNo full-time education,0.5969327691366959,0.47385624778595115,1.8165385037732578,0.7176247991520619,4.598241503902611,0.20778089040392653
Model 2,age,0.0036943777364316097,0.0018646726367333316,1.0037012103613694,1.0000396873129975,1.0073761396287184,0.047577967961683836
Model 2,gender_fWoman,-0.1703602318571668,0.055704833915477765,0.8433609563860247,0.756131708717649,0.9406531885332489,0.0022293182956584384
Model 2,precarityFrom time to time,-0.1571682222154202,0.06421312573511782,0.8545602907002168,0.7535019778832772,0.9691723603607627,0.01439001975979737
Model 2,precarityMost of the time,-0.491845975969156,0.10868264423406111,0.6114965437419062,0.49417773235136075,0.7566670825678439,6.061202045171801e-6
Model 2,community_fSmall/medium town,0.06641293459454174,0.06525047634027477,1.0686679160191905,0.9403758445467204,1.2144624102709598,0.3087787204589878
Model 2,community_fLarge town,0.18401476987114315,0.07150316977811762,1.2020335768462307,1.0448476991191336,1.3828663460558546,0.01007453926046952
Model 2,digital_skill,0.7560127750705059,0.03397238088987017,2.1297674067940977,1.9925757171859197,2.276404940560272,2.52615409245533e-108
Model 2,ai_exposure,0.7272406230957886,0.05696223711166206,2.0693625709083947,1.8507606002695138,2.3137846403543514,3.5632243404469966e-37
