qb5,prop,prop_low,prop_upp
1,0.12212025885858634,0.11567430439062204,0.12856621332655063
2,0.5399493999769066,0.529632877788472,0.5502659221653412
3,0.2533547193106155,0.2443023425981039,0.26240709602312706
4,0.08457562185389156,0.07892415432447655,0.09022708938330656
