precarity,prop_positive,prop_positive_low,prop_positive_upp,n
Almost never / never,0.6969818769477134,0.6850366941498001,0.7089270597456268,15746
From time to time,0.6182463119426861,0.5993507992894445,0.6371418245959277,6253
Most of the time,0.5223810423411404,0.4823406518532821,0.5624214328289986,1632
